,Unnamed: 0,Unnamed: 0.1,ExpID,DataSetID,wellID,treatment,conc_uM,Medium,plateID,tp,tp.live,measurement,obj,cell_line,mitoT_conc,Plate_type,size,extra_zoom,In_Focuse,id,picture,wellID2,info_for_ws170,channel_mitotracker,grayMitoImages,segmentedMitoImages,clusifiedMitoImages
14,14,276,WS025,WS025_1,C04,DMSO,0.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,139,1,C04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C04_1/seq0000xy15c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C04_1_TP.png
15,15,277,WS025,WS025_1,C04,DMSO,0.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,139,2,C04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C04_2/seq0000xy16c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C04_2_TP.png
16,16,278,WS025,WS025_1,C05,DMSO,0.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,140,1,C05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C05_1/seq0000xy13c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C05_1_TP.png
17,17,279,WS025,WS025_1,C05,DMSO,0.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,140,2,C05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C05_2/seq0000xy14c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C05_2_TP.png
18,18,280,WS025,WS025_1,C06,DMSO,0.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,141,1,C06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C06_1/seq0000xy11c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C06_1_TP.png
19,19,281,WS025,WS025_1,C06,DMSO,0.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,141,2,C06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/C06_2/seq0000xy12c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_C06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_C06_2_TP.png
20,20,282,WS025,WS025_1,D02,antimcyin,20.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,142,1,D02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D02_1/seq0000xy21c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D02_1_TP.png
21,21,283,WS025,WS025_1,D02,antimcyin,20.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,142,2,D02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D02_2/seq0000xy22c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D02_2_TP.png
22,22,284,WS025,WS025_1,D03,antimcyin,20.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,143,1,D03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D03_1/seq0000xy23c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D03_1_TP.png
23,23,285,WS025,WS025_1,D03,antimcyin,20.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,143,2,D03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D03_2/seq0000xy24c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D03_2_TP.png
24,24,286,WS025,WS025_1,D04,antimcyin,20.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,144,1,D04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D04_1/seq0000xy25c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D04_1_TP.png
25,25,287,WS025,WS025_1,D04,antimcyin,20.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,144,2,D04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D04_2/seq0000xy26c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D04_2_TP.png
26,26,288,WS025,WS025_1,D05,antimcyin,20.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,145,1,D05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D05_1/seq0000xy27c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D05_1_TP.png
27,27,289,WS025,WS025_1,D05,antimcyin,20.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,145,2,D05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D05_2/seq0000xy28c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D05_2_TP.png
28,28,290,WS025,WS025_1,D06,antimcyin,20.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,146,1,D06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D06_1/seq0000xy29c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D06_1_TP.png
29,29,291,WS025,WS025_1,D06,antimcyin,20.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,146,2,D06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/D06_2/seq0000xy30c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_D06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_D06_2_TP.png
30,30,292,WS025,WS025_1,E02,antimcyin,2.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,147,1,E02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E02_1/seq0000xy39c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E02_1_TP.png
31,31,293,WS025,WS025_1,E02,antimcyin,2.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,147,2,E02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E02_2/seq0000xy40c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E02_2_TP.png
32,32,294,WS025,WS025_1,E03,antimcyin,2.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,148,1,E03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E03_1/seq0000xy37c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E03_1_TP.png
33,33,295,WS025,WS025_1,E03,antimcyin,2.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,148,2,E03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E03_2/seq0000xy38c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E03_2_TP.png
34,34,296,WS025,WS025_1,E04,antimcyin,2.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,149,1,E04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E04_1/seq0000xy35c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E04_1_TP.png
35,35,297,WS025,WS025_1,E04,antimcyin,2.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,149,2,E04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E04_2/seq0000xy36c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E04_2_TP.png
36,36,298,WS025,WS025_1,E05,antimcyin,2.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,150,1,E05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E05_1/seq0000xy33c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E05_1_TP.png
37,37,299,WS025,WS025_1,E05,antimcyin,2.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,150,2,E05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E05_2/seq0000xy34c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E05_2_TP.png
38,38,300,WS025,WS025_1,E06,antimcyin,2.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,151,1,E06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E06_1/seq0000xy31c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E06_1_TP.png
39,39,301,WS025,WS025_1,E06,antimcyin,2.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,151,2,E06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/E06_2/seq0000xy32c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_E06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_E06_2_TP.png
40,40,302,WS025,WS025_1,F02,oligomycin,50.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,152,1,F02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F02_1/seq0000xy41c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F02_1_TP.png
41,41,303,WS025,WS025_1,F02,oligomycin,50.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,152,2,F02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F02_2/seq0000xy42c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F02_2_TP.png
42,42,304,WS025,WS025_1,F03,oligomycin,50.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,153,1,F03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F03_1/seq0000xy43c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F03_1_TP.png
43,43,305,WS025,WS025_1,F03,oligomycin,50.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,153,2,F03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F03_2/seq0000xy44c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F03_2_TP.png
44,44,306,WS025,WS025_1,F04,oligomycin,50.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,154,1,F04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F04_1/seq0000xy45c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F04_1_TP.png
45,45,307,WS025,WS025_1,F04,oligomycin,50.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,154,2,F04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F04_2/seq0000xy46c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F04_2_TP.png
46,46,308,WS025,WS025_1,F05,oligomycin,50.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,155,1,F05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F05_1/seq0000xy47c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F05_1_TP.png
47,47,309,WS025,WS025_1,F05,oligomycin,50.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,155,2,F05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F05_2/seq0000xy48c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F05_2_TP.png
48,48,310,WS025,WS025_1,F06,oligomycin,50.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,156,1,F06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F06_1/seq0000xy49c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F06_1_TP.png
49,49,311,WS025,WS025_1,F06,oligomycin,50.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,156,2,F06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/F06_2/seq0000xy50c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_F06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_F06_2_TP.png
50,50,312,WS025,WS025_1,G02,oligomycin,5.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,157,1,G02_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G02_1/seq0000xy59c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G02_1_TP.png
51,51,313,WS025,WS025_1,G02,oligomycin,5.0,glucose,1,6.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,157,2,G02_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G02_2/seq0000xy60c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G02_2_TP.png
52,52,314,WS025,WS025_1,G03,oligomycin,5.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,158,1,G03_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G03_1/seq0000xy57c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G03_1_TP.png
53,53,315,WS025,WS025_1,G03,oligomycin,5.0,glucose,1,5.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,158,2,G03_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G03_2/seq0000xy58c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G03_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G03_2_TP.png
54,54,316,WS025,WS025_1,G04,oligomycin,5.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,159,1,G04_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G04_1/seq0000xy55c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G04_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G04_1_TP.png
55,55,317,WS025,WS025_1,G04,oligomycin,5.0,glucose,1,4.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,159,2,G04_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G04_2/seq0000xy56c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G04_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G04_2_TP.png
56,56,318,WS025,WS025_1,G05,oligomycin,5.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,160,1,G05_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G05_1/seq0000xy53c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G05_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G05_1_TP.png
57,57,319,WS025,WS025_1,G05,oligomycin,5.0,glucose,1,3.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,160,2,G05_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G05_2/seq0000xy54c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G05_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G05_2_TP.png
58,58,320,WS025,WS025_1,G06,oligomycin,5.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,161,1,G06_1,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G06_1/seq0000xy51c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G06_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G06_1_TP.png
59,59,321,WS025,WS025_1,G06,oligomycin,5.0,glucose,1,1.0,tp,MitoT,40x w,WT_HepG2,4000_40000,glass,1024,3x,YES,161,2,G06_2,,c2,/data/yangh/MitoTData_20200427_G/WS025_1/Images/tiff_wells/G06_2/seq0000xy52c2t1.tif,/data/yangh/MitoTData_20200427_B/WS025_1_G06_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS025_1_G06_2_TP.png
60,60,394,WS032,WS032_1,B02,DMEM,0.0,glucose,1,24.0,tp,MitoT,40x w,WT_HepG2,4000_40000,screenstar,1024,3x,YES,198,1,B02_1,,c2,/data/yangh/MitoTData_20200427_G/WS032_1/Images/screenstar_tiff_wells/B02_1/20161219_screenstar_xy01c2.tif,/data/yangh/MitoTData_20200427_B/WS032_1_B02_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS032_1_B02_1_TP.png
61,61,395,WS032,WS032_1,B02,DMEM,0.0,glucose,1,24.0,tp,MitoT,40x w,WT_HepG2,4000_40000,screenstar,1024,3x,YES,198,2,B02_2,,c2,/data/yangh/MitoTData_20200427_G/WS032_1/Images/screenstar_tiff_wells/B02_2/20161219_screenstar_xy02c2.tif,/data/yangh/MitoTData_20200427_B/WS032_1_B02_2_TP.tiff,/data/yangh/MitoTData_20200427_C/WS032_1_B02_2_TP.png
62,62,396,WS032,WS032_1,B03,DMEM,0.0,glucose,1,24.0,tp,MitoT,40x w,WT_HepG2,4000_40000,screenstar,1024,3x,YES,199,1,B03_1,,c2,/data/yangh/MitoTData_20200427_G/WS032_1/Images/screenstar_tiff_wells/B03_1/20161219_screenstar_xy03c2.tif,/data/yangh/MitoTData_20200427_B/WS032_1_B03_1_TP.tiff,/data/yangh/MitoTData_20200427_C/WS032_1_B03_1_TP.png
